record_type,facet,component,source_id,source_title_or_spec,source_kind,screening_status,current_evidence_level,supported_claim_or_status,limitations,argo_connection,missing_full_read_or_experiment,contribution_tag,tag_status,local_basis,note
facet_evidence,tools,,alphaxiv:2608.23552,Prime Agent: A Self-Improving RLM Harness,paper,full_read,FULL_PAPER_READ,"Prime Agent defines the inherited information hierarchy, persistent IPython computation, recursive sessions, daemon continuity, Continual Harness, and long-horizon evaluation substrate.","Structured report retained at `paper/sources/reports/2608.23552.txt` (19150 bytes; SHA-256 `c52ab568da5f1e536e075612097ed3af4b14aec481e2cd7bd90b0b27374bfe93`). Raw arXiv TeX source is retained at `paper/sources/arxiv/2608.23552.tar.gz` (352183 bytes; SHA-256 `d938eb6ba4a9402e8e0bedaa0bd844f8f9813e8c1804762c07037a63629da32f`), with extracted TeX under `paper/sources/tex/2608.23552` and member manifest `paper/sources/tex/2608.23552/_archive_members.json` (SHA-256 `9fe6b3b61d384653e1ff7f0ed82af7e7eae0b6a4e4a905bbbc5133d25db315ec`). The scoped current-claim locator(s) pass byte, excerpt, and semantic review; broader claims require new locators. Architecture efficacy outside the reported tasks is not established.","Ancestry for the persistent IPython, code-mediated capability surface and harness-managed execution.",Restore release-grade paper receipt; compare tool-use reliability and failure modes under matched stock-Prime/ARGO tasks.,,,paper/sources/report-receipts.json (SHA-256 c1ad0d25ab8fb9376b587f14a9ae9178d161cd6c98cb1964e0f0732a43852702); paper/sources/reports/2608.23552.txt (19150 bytes; SHA-256 c52ab568da5f1e536e075612097ed3af4b14aec481e2cd7bd90b0b27374bfe93); paper/sources/arxiv-source-receipts.json (SHA-256 b834a623e29036dbe96ff7eee860d8efdb9976db7947ab6f4c3a054f3142f42b); paper/sources/arxiv/2608.23552.tar.gz (352183 bytes; SHA-256 d938eb6ba4a9402e8e0bedaa0bd844f8f9813e8c1804762c07037a63629da32f); paper/sources/tex/2608.23552/_archive_members.json (SHA-256 9fe6b3b61d384653e1ff7f0ed82af7e7eae0b6a4e4a905bbbc5133d25db315ec); extracted TeX: paper/sources/tex/2608.23552; docs/argo/migration-state.json; docs/argo/research-foundations.md; paper/sources/claim-locators.json SHA-256 efb9fd1577e01c59eb6af43a34ef4dfcbf0abe40eb4a2c1ff9d2fb7b71be5154; paper/sources/arxiv-metadata-receipt.json SHA-256 923412f29b30d810527d047b98094d8ffc020a789723f312821b9b09bca3951a,
facet_evidence,tools,,local:prime-v0.9.1-source,Prime Agent v0.9.1 local source and architecture documentation,software/source,local_primary_code,PRIMARY_SPEC_OR_CODE,"The local base implements a persistent IPython programming surface, code-invoked skills, host requests, and tool execution paths documented in `architecture.md`, `rlm.md`, and `src/core/tools/`.","This establishes implementation/lineage facts, not scientific efficacy. Native ARGO runtime slices are still empty.","Direct implementation evidence for inherited `ipython`, `bash`, edit, skills, and host-owned execution boundaries.","Add tool inventory/capability/permission fixtures; measure tool-selection errors, injection resistance, and completion/cost before any ARGO modification.",,,upstream base 81ae3cb34d27d38ee37f9e205a1e73694993b344; packages/coding-agent/docs/architecture.md and cited source paths,
facet_evidence,tools,,alphaxiv:2606.13662,EurekAgent,paper,recorded_full_read,FULL_PAPER_READ,"EurekAgent frames permissions, artifacts, budgets, and human supervision as environment engineering.","Structured report retained at `paper/sources/reports/2606.13662.txt` (22317 bytes; SHA-256 `6f3c84e701b968353f92645d9611829fa78d4ca26ebec907389fb64579717a44`). Raw arXiv TeX source is retained at `paper/sources/arxiv/2606.13662.tar.gz` (6593120 bytes; SHA-256 `9172c8ec9509d3281c05c3c31eaa2ee35ac19439e3b61d4ae7f5f0a5e5fb6392`), with extracted TeX under `paper/sources/tex/2606.13662` and member manifest `paper/sources/tex/2606.13662/_archive_members.json` (SHA-256 `f4c68ee1c4dd538397ac66664e06ae2fb029dec6901a4919c175925cbbca664e`). The scoped current-claim locator(s) pass byte, excerpt, and semantic review; broader claims require new locators. Environment engineering alone does not supply ARGO scientific-admission or scope logic.","Prior-work basis for treating tools together with permissions, artifacts, budgets, and supervision rather than as an ungoverned action list.",Restore source receipt; compare risk-tiered tool admission against the inherited surface with human-authority and non-bypass probes.,,,paper/sources/report-receipts.json (SHA-256 c1ad0d25ab8fb9376b587f14a9ae9178d161cd6c98cb1964e0f0732a43852702); paper/sources/reports/2606.13662.txt (22317 bytes; SHA-256 6f3c84e701b968353f92645d9611829fa78d4ca26ebec907389fb64579717a44); paper/sources/arxiv-source-receipts.json (SHA-256 b834a623e29036dbe96ff7eee860d8efdb9976db7947ab6f4c3a054f3142f42b); paper/sources/arxiv/2606.13662.tar.gz (6593120 bytes; SHA-256 9172c8ec9509d3281c05c3c31eaa2ee35ac19439e3b61d4ae7f5f0a5e5fb6392); paper/sources/tex/2606.13662/_archive_members.json (SHA-256 f4c68ee1c4dd538397ac66664e06ae2fb029dec6901a4919c175925cbbca664e); extracted TeX: paper/sources/tex/2606.13662; docs/argo/migration-state.json; docs/argo/research-foundations.md; paper/sources/claim-locators.json SHA-256 efb9fd1577e01c59eb6af43a34ef4dfcbf0abe40eb4a2c1ff9d2fb7b71be5154; paper/sources/arxiv-metadata-receipt.json SHA-256 923412f29b30d810527d047b98094d8ffc020a789723f312821b9b09bca3951a,
facet_evidence,tools,,openalex:10.36227/techrxiv.174495492.22752319/v1,"A Survey on Model Context Protocol: Architecture, State-of-the-art, Challenges and Future Directions",paper candidate,unscreened,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.","Candidate comparison for protocol-hosted tools, capability negotiation, access control, and persistent-context risk.",Screen source quality; full-read the official MCP specification first/alongside this survey; pin versions; run interoperability and adversarial authorization tests.,,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
facet_evidence,tools,,alphaxiv:2608.17007,SkillEffect: Checked Lowering for Memory-Bounded Agent Tools,paper candidate,unscreened,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.","Candidate for independently checked, resource-bounded lowering of skill/tool programs.",Screen and full-read; identify whether assumptions match ARGO tools; reproduce bounded-resource and postcondition checks before adopting.,,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
facet_evidence,protocols,,local:prime-protocol-code,"Prime Agent v0.9.1 ACP, RPC, MCP, daemon, and REPL protocol code",software/source,local_primary_code,PRIMARY_SPEC_OR_CODE,"The local base contains ACP, Prime RPC, MCP integration, daemon/worker, and kernel-host protocol implementations with documented boundaries.",This does not substitute for full reads of the official external protocol specifications or interoperability/security experiments.,"Defines the actually inherited ACP, Prime RPC, MCP, daemon/worker, and Python-host seams that ARGO must migrate without a parallel protocol stack.",Pin external ACP/MCP specifications; create capability/version/unknown-field/backward-compatibility tests and protocol fingerprints before modification.,,,"packages/coding-agent/docs/{acp,rpc,mcp-integrations,daemon,rlm-runtime}.md; packages/coding-agent/src/modes/{acp,rpc,daemon}; packages/coding-agent/src/core/mcp; prime-agent-runtime/src/rlm/repl.md",
facet_evidence,protocols,,local:argo-openresearch-boundary,ARGO local OpenResearch lifecycle-boundary designation,internal design spec,local_design_contract,PRIMARY_SPEC_OR_CODE,The local ARGO design designates OpenResearch as the external lifecycle authority and plans a read-only receipt boundary before any capability-gated internalization.,This supports only what ARGO locally designates/plans. It does not independently verify OpenResearch semantics or enforcement.,External lifecycle boundary whose run receipts ARGO plans to import rather than duplicate.,Pin OpenResearch source revision/spec artifact; define receipt schema; test immutable run ID/commit/command/environment/artifact identity and reject stale or unrelated receipts.,,,docs/argo/research-foundations.md; docs/argo/migration-plan.md M4,
facet_evidence,protocols,,external:openresearch-cli-unpinned,OpenResearch CLI external spec/code receipt (not yet pinned),external software/spec gap,external_primary_not_pinned,NONE,No independent external-software claim is supported at present. Only the separate local ARGO design record says which lifecycle role ARGO assigns to OpenResearch.,"Without a pinned primary spec/code receipt, external semantics, invariants, and enforcement must remain unverified.",External candidate whose exact run/branch/receipt semantics must be pinned before ARGO may treat a receipt as authoritative.,"Retain a pinned primary source/spec artifact with hash and locators; verify branch immutability, command/environment identity, status, stdout/artifact hashes, and failure semantics against the actual version.",,,"Named by docs/argo/research-foundations.md; local operational binary reports version 0.1.117, but no pinned source/spec bytes, hash, or locator are retained",
facet_evidence,protocols,,openalex:10.36227/techrxiv.174495492.22752319/v1,"A Survey on Model Context Protocol: Architecture, State-of-the-art, Challenges and Future Directions",paper candidate,unscreened,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.",Discovery candidate for MCP architecture and lifecycle comparison.,Full-read official MCP specification and primary implementations; use this survey only after quality screening; run compatibility/security tests.,,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
facet_evidence,protocols,,openalex:10.36227/techrxiv.174612014.42157096/v1,"A Review on Agent-to-Agent Protocol: Concept, State-of-the-art, Challenges and Future Directions",paper candidate,unscreened,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.",Discovery candidate for agent-to-agent protocol vocabulary and interoperability questions.,"Full-read an official A2A specification and primary implementation; verify state, identity, capability, auth, and artifact semantics experimentally.",,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
